config_idx;config;trainable_params;val_auc_mean;val_auc_std;test_auc_mean;test_auc_std
7;{'num_layers': 2, 'hidden_dim': 16, 'dense_dim': 8, 'dropout': 0.2};4689;0.6242259202698432;0.012948495675824031;0.606401645839383;0.007925816197847319
8;{'num_layers': 2, 'hidden_dim': 32, 'dense_dim': 8, 'dropout': 0.2};15505;0.6241585757132697;0.008429122070094202;0.6131462405071391;0.003164846579627955
2;{'num_layers': 1, 'hidden_dim': 32, 'dense_dim': 8, 'dropout': 0.2};7057;0.6172582922193964;0.012088618645368386;0.6087036553974574;0.012196832398601672
11;{'num_layers': 2, 'hidden_dim': 64, 'dense_dim': 16, 'dropout': 0.3};56097;0.6164163643836524;0.003107938093348793;0.617089955162689;0.005869567566693364
9;{'num_layers': 2, 'hidden_dim': 32, 'dense_dim': 16, 'dropout': 0.2};15777;0.6158710582130958;0.005201154340731834;0.6125057215558696;0.004008596853953979
10;{'num_layers': 2, 'hidden_dim': 32, 'dense_dim': 16, 'dropout': 0.3};15777;0.6156294227149789;0.005558260009765676;0.6128366612691272;0.0048135483570884855
5;{'num_layers': 1, 'hidden_dim': 64, 'dense_dim': 16, 'dropout': 0.2};22817;0.6154137902395711;0.00921558489328201;0.622259977655171;0.0022152491673496605
4;{'num_layers': 1, 'hidden_dim': 32, 'dense_dim': 16, 'dropout': 0.3};7329;0.6143209010847317;0.007502667870175396;0.6110198396487826;0.010538624996985388
3;{'num_layers': 1, 'hidden_dim': 32, 'dense_dim': 16, 'dropout': 0.2};7329;0.6117513949724469;0.012318785852367451;0.6038691006452439;0.007332578367689797
1;{'num_layers': 1, 'hidden_dim': 16, 'dense_dim': 8, 'dropout': 0.2};2513;0.6093555422641999;0.022200562265133506;0.6043552729366717;0.011540200050151222
6;{'num_layers': 1, 'hidden_dim': 64, 'dense_dim': 32, 'dropout': 0.3};23873;0.6080823912458253;0.005531731940211496;0.62015523257817;0.003370359688722504
