seed;val_auc_mean;test_auc_global;test_accuracy;test_balanced_acc;test_f1_macro;CAGR_Strategy;Ann_Return_Strategy;Ann_Vol_Strategy;Sharpe_Strategy;MDD_Strategy;Skewness_Strategy;Kurtosis_Strategy;Delta_Util_Strategy;BSS;R2_OOS;Turnover_Ann;Total_Costs
0;0,6375549021974132;0,6077714724454791;0,5679563492063492;0,5666240113397546;0,5626045110669327;0,07333435806280875;0,07680711954699417;0,10967986294425838;0,700284599058485;0,21988707019954798;-0,5735336114449313;6,276038866428017;1,4206392673785884;0,030730644685547537;-0,012889288576975577;8,524577880367158;3,4081397676467895
2;0,6314992595579693;0,6044669970813913;0,5634920634920635;0,5623573302359004;0,5594965675057209;0,06195006563150329;0,06536671255713902;0,10237283333148611;0,6385161941055552;0,17153790975227023;-0,7000547585052809;4,335515294329327;0,7414411677395952;0,030116767868821892;-0,005307403356410223;8,85342834065629;3,539614703655243
42;0,6158822380489803;0,6061738663936727;0,5580357142857143;0,5565865566815468;0,5516281740063776;0,07841544965993741;0,08122147079609138;0,10685376916043625;0,7601179693907001;0,17215107880232045;-0,48358773535878397;3,7491683045693778;2,045657697792162;0,0324988390055051;-0,002577068557171769;8,517100619181214;3,4051503467559816
123;0,63022486015575;0,6192446069721773;0,5654761904761905;0,5654422947253407;0,5654334208692434;0,07819035682934672;0,08170585258431624;0,11309813569449825;0,7224332334052581;0,21265582178969455;-0,6290318164534973;4,423727202562325;1,6820577824808458;0,03900224579210787;-0,014612790624283223;8,313218746800576;3,323638050556183
1111;0,6172463409502683;0,6101447492112866;0,5744047619047619;0,5734254032158835;0,5714285714285714;0,08708804482916133;0,0893288023373436;0,10771768782465828;0,8292862881857044;0,18230272958165028;-0,5733488941092866;2,8541990472516954;2,8007791659677634;0,033664775035247896;-0,001897592487657196;8,996645991417669;3,5968733477592467
